Symbol,Time,Open,High,Low,Last,Change,%Change,Volume
META,9/4/24,506.07,516.59,504.07,512.74,0.98,0.19%,8335200
META,9/5/24,511.72,521.6295,511.15,516.86,4.12,0.80%,8640800
META,9/6/24,521.88,524.5849,498.25,500.27,-16.59,-3.21%,14744500
META,9/9/24,506.16,511.33,502.08,504.79,4.52,0.90%,11047800
META,9/10/24,508.16,514.18,500.0278,504.79,0,0.00%,9899000
META,9/11/24,507.01,513.12,495.6,511.83,7.04,1.39%,10782500
META,9/12/24,517.05,526.71,515.22,525.6,13.77,2.69%,11993300
META,9/13/24,520.34,527.581,517.11,524.62,-0.98,-0.19%,10321400
META,9/16/24,524.54,534.1,517.4,533.28,8.66,1.65%,9527600
META,9/17/24,537.6,542.1,530.57,536.315,3.035,0.57%,11690700
META,9/18/24,537.07,544.2,533.9026,537.95,1.635,0.30%,10323500
META,9/19/24,550,562.07,546.52,559.1,21.15,3.93%,15646900
META,9/20/24,560,564.5,556.3001,561.35,2.25,0.40%,22066800
META,9/23/24,569.5,573.9799,562.41,564.41,3.06,0.55%,12830600
META,9/24/24,566.68,567.745,554.19,563.33,-1.08,-0.19%,12992900
META,9/25/24,564.05,576.88,563.72,568.31,4.98,0.88%,16543300
META,9/26/24,575.73,577.4,562.3501,567.84,-0.47,-0.08%,14400700
META,9/27/24,570.1,570.8399,564.51,567.36,-0.48,-0.08%,9398300
META,9/30/24,567.7,574.68,564.8,572.44,5.08,0.90%,12807200
META,10/1/24,577.98,583.04,570.1,576.47,4.03,0.70%,15259200
META,10/2/24,574.86,576,569.34,572.81,-3.66,-0.63%,6524600
META,10/3/24,570.15,583.36,568.73,582.77,9.96,1.74%,11580900
META,10/4/24,583.73,596.85,581.43,595.94,13.17,2.26%,14199700
META,10/7/24,598.22,602.95,584.04,584.78,-11.16,-1.87%,12014100
META,10/8/24,589.69,593.56,585.97,592.89,8.11,1.39%,7857300
META,10/9/24,593.99,594.39,581.61,590.51,-2.38,-0.40%,9529700
META,10/10/24,587.57,590.23,582.52,583.83,-6.68,-1.13%,7740400
META,10/11/24,584.83,591.21,582.71,589.95,6.12,1.05%,8587000
META,10/14/24,594.22,600.1,589.96,590.42,0.47,0.08%,8251900
META,10/15/24,590.16,590.61,580.143,586.27,-4.15,-0.70%,9564200
META,10/16/24,581.4,582.08,574.03,576.79,-9.48,-1.62%,11268300
META,10/17/24,583.33,584.97,575.2,576.93,0.14,0.02%,8701100
META,10/18/24,581.1,583.9676,575.25,576.47,-0.46,-0.08%,7694200
META,10/21/24,576.03,577.24,569.11,575.16,-1.31,-0.23%,8171800
